Snap Date,Dep Date,Return Date,Dep time,Dep Time,Dep Duration,From,Back time,Back Comp,Stops,Back Duration,Back Arrival,Stops,Dep Airport,Back Airport,Price,Class
2025-03-04,2025-03-05,2025-03-06,7:05 am – 9:25 am,easyJet,nonstop,1h 20m,LTN,CDG,9:10 pm – 9:15 pm,easyJet,nonstop,1h 05m,CDG,LGW,$216,Economy
2025-03-04,2025-03-05,2025-03-06,3:15 pm – 5:45 pm,Vueling,nonstop,1h 30m,LHR,ORY,11:50 am – 12:05 pm,easyJet,nonstop,1h 15m,CDG,LTN,$144,Economy
2025-03-04,2025-03-05,2025-03-06,8:15 am – 10:35 am,easyJet,nonstop,1h 20m,LGW,CDG,9:55 am – 10:15 am,easyJet,nonstop,1h 20m,CDG,LTN,$222,Economy
2025-03-04,2025-03-05,2025-03-06,8:15 am – 10:35 am,easyJet,nonstop,1h 20m,LGW,CDG,12:05 pm – 12:15 pm,Vueling,nonstop,1h 10m,ORY,LGW,$232,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,6:15 pm – 6:20 pm,British Airways,nonstop,1h 05m,ORY,LGW,$174,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,12:05 pm – 12:15 pm,British Airways,nonstop,1h 10m,ORY,LGW,$174,Economy
2025-03-04,2025-03-05,2025-03-06,8:15 am – 10:35 am,easyJet,nonstop,1h 20m,LGW,CDG,2:40 pm – 2:55 pm,easyJet,nonstop,1h 15m,CDG,LTN,$239,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,2:10 pm – 2:25 pm,Iberia,nonstop,1h 15m,ORY,LHR,$137,Economy
2025-03-04,2025-03-05,2025-03-06,8:15 am – 10:35 am,easyJet,nonstop,1h 20m,LGW,CDG,11:50 am – 12:05 pm,easyJet,nonstop,1h 15m,CDG,LTN,$243,Economy
2025-03-04,2025-03-05,2025-03-06,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,6:15 pm – 6:20 pm,British Airways,nonstop,1h 05m,ORY,LGW,$187,Economy
2025-03-04,2025-03-05,2025-03-06,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,2:10 pm – 2:25 pm,British Airways,nonstop,1h 15m,ORY,LHR,$210,Economy
2025-03-04,2025-03-05,2025-03-06,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,12:05 pm – 12:15 pm,British Airways,nonstop,1h 10m,ORY,LGW,$183,Economy
2025-03-04,2025-03-05,2025-03-06,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,2:10 pm – 2:25 pm,Iberia,nonstop,1h 15m,ORY,LHR,$146,Economy
2025-03-04,2025-03-05,2025-03-06,7:55 am – 10:20 am,Vueling,nonstop,1h 25m,LGW,ORY,5:40 pm – 5:45 pm,easyJet,nonstop,1h 05m,CDG,LGW,$185,Economy
2025-03-04,2025-03-05,2025-03-06,7:55 am – 10:20 am,Vueling,nonstop,1h 25m,LGW,ORY,10:05 am – 10:15 am,easyJet,nonstop,1h 10m,CDG,LGW,$178,Economy
2025-03-04,2025-03-05,2025-03-06,7:55 am – 10:20 am,Vueling,nonstop,1h 25m,LGW,ORY,7:20 am – 7:30 am,easyJet,nonstop,1h 10m,CDG,LGW,$178,Economy
2025-03-04,2025-03-05,2025-03-06,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,2:10 pm – 2:25 pm,British Airways,nonstop,1h 15m,ORY,LHR,$215,Economy
2025-03-04,2025-03-05,2025-03-06,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,12:05 pm – 12:15 pm,British Airways,nonstop,1h 10m,ORY,LGW,$187,Economy
2025-03-04,2025-03-05,2025-03-07,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,5:55 pm – 5:55 pm,easyJet,nonstop,1h 00m,CDG,LGW,$119,Economy
